date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:39	617/617	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Oct%202024%2023:04:40%20GMT	https://essential.gg/robots.txt		(from )
20:04:40	263953/263953	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Oct%202024%2023:04:40%20GMT	https://essential.gg/	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/index.html	(from )
20:04:41	181464/181464	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Oct%202024%2023:04:41%20GMT	https://essential.gg/imprint	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/imprint.html	(from https://essential.gg/)
20:04:42	1586/1586	---M--	200	added ('OK')	image/png	etag:%226655f646-632%22	https://static.essential.gg//tile/144x144.png	C:/Users/youareloser/Desktop/Srcs/Essential/esse/static.essential.gg/tile/144x144.png	(from https://essential.gg/)
20:04:43	589/589	---MCZ	200	added ('OK')	application/xml	date:Sun,%2013%20Oct%202024%2023:04:44%20GMT	https://essential.gg/browserconfig.xml	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/browserconfig.xml	(from https://essential.gg/)
20:04:44	2385/2385	---MCZ	200	added ('OK')	application/xml	date:Sun,%2013%20Oct%202024%2023:04:45%20GMT	https://essential.gg/sitemap.xml	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/sitemap.xml	(from https://essential.gg/)
20:04:45	2000/2000	---MCZ	200	added ('OK')	application/manifest+json	date:Sun,%2013%20Oct%202024%2023:04:46%20GMT	https://essential.gg/site.webmanifest	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/site.webmanifest	(from https://essential.gg/)
20:04:46	654/654	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2013%20Oct%202024%2023:04:47%20GMT	https://essential.gg/safari-pinned-tab.svg	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/safari-pinned-tab.svg	(from https://essential.gg/)
20:04:47	351830/351830	---MCZ	200	added ('OK')	image/x-icon	date:Sun,%2013%20Oct%202024%2023:04:48%20GMT	https://essential.gg/favicon.ico	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/favicon.ico	(from https://essential.gg/)
20:04:48	573/573	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2013%20Oct%202024%2023:04:49%20GMT	https://essential.gg/favicon.svg	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/favicon.svg	(from https://essential.gg/)
20:04:48	1546/1546	---M--	200	added ('OK')	image/png	etag:%226655f148-60a%22	https://static.essential.gg//icon/256x256.png	C:/Users/youareloser/Desktop/Srcs/Essential/esse/static.essential.gg/icon/256x256.png	(from https://essential.gg/)
20:04:49	1248/1248	---M--	200	added ('OK')	image/png	etag:%226655f147-4e0%22	https://static.essential.gg//icon/196x196.png	C:/Users/youareloser/Desktop/Srcs/Essential/esse/static.essential.gg/icon/196x196.png	(from https://essential.gg/)
20:04:49	1107/1107	---M--	200	added ('OK')	image/png	etag:%226655f149-453%22	https://static.essential.gg//icon/160x160.png	C:/Users/youareloser/Desktop/Srcs/Essential/esse/static.essential.gg/icon/160x160.png	(from https://essential.gg/)
20:04:49	787/787	---M--	200	added ('OK')	image/png	etag:%226655f147-313%22	https://static.essential.gg//icon/96x96.png	C:/Users/youareloser/Desktop/Srcs/Essential/esse/static.essential.gg/icon/96x96.png	(from https://essential.gg/)
20:04:50	281/281	---M--	200	added ('OK')	image/png	etag:%226655f148-119%22	https://static.essential.gg//icon/16x16.png	C:/Users/youareloser/Desktop/Srcs/Essential/esse/static.essential.gg/icon/16x16.png	(from https://essential.gg/)
20:04:50	503/503	---M--	200	added ('OK')	image/png	etag:%226655f148-1f7%22	https://static.essential.gg//icon/32x32.png	C:/Users/youareloser/Desktop/Srcs/Essential/esse/static.essential.gg/icon/32x32.png	(from https://essential.gg/)
20:04:50	1070/1070	---M--	200	added ('OK')	image/png	etag:%226655f21c-42e%22	https://static.essential.gg//icon/152x152.png	C:/Users/youareloser/Desktop/Srcs/Essential/esse/static.essential.gg/icon/152x152.png	(from https://essential.gg/)
20:04:50	1033/1033	---M--	200	added ('OK')	image/png	etag:%226655f14a-409%22	https://static.essential.gg//icon/144x144.png	C:/Users/youareloser/Desktop/Srcs/Essential/esse/static.essential.gg/icon/144x144.png	(from https://essential.gg/)
20:04:51	949/949	---M--	200	added ('OK')	image/png	etag:%226655f647-3b5%22	https://static.essential.gg//icon/120x120.png	C:/Users/youareloser/Desktop/Srcs/Essential/esse/static.essential.gg/icon/120x120.png	(from https://essential.gg/)
20:04:51	907/907	---M--	200	added ('OK')	image/png	etag:%226655f379-38b%22	https://static.essential.gg//icon/114x114.png	C:/Users/youareloser/Desktop/Srcs/Essential/esse/static.essential.gg/icon/114x114.png	(from https://essential.gg/)
20:04:51	736/736	---M--	200	added ('OK')	image/png	etag:%226655f648-2e0%22	https://static.essential.gg//icon/76x76.png	C:/Users/youareloser/Desktop/Srcs/Essential/esse/static.essential.gg/icon/76x76.png	(from https://essential.gg/)
20:04:51	718/718	---M--	200	added ('OK')	image/png	etag:%226655f44b-2ce%22	https://static.essential.gg//icon/72x72.png	C:/Users/youareloser/Desktop/Srcs/Essential/esse/static.essential.gg/icon/72x72.png	(from https://essential.gg/)
20:04:52	619/619	---M--	200	added ('OK')	image/png	etag:%226655f149-26b%22	https://static.essential.gg//icon/57x57.png	C:/Users/youareloser/Desktop/Srcs/Essential/esse/static.essential.gg/icon/57x57.png	(from https://essential.gg/)
20:04:53	263982/263982	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Oct%202024%2023:04:53%20GMT	https://essential.gg/en	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/en.html	(from https://essential.gg/)
20:04:54	12513/12513	---MCZ	200	added ('OK')	text/css	etag:%2266d8da6d-30e1%22	https://assets.essential.gg/stylesheet/home-b4625cf8e00e3fb0.css	C:/Users/youareloser/Desktop/Srcs/Essential/esse/assets.essential.gg/stylesheet/home-b4625cf8e00e3fb0.css	(from https://essential.gg/)
20:04:55	242915/242915	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Oct%202024%2023:04:55%20GMT	https://essential.gg/downloads	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/downloads.html	(from https://essential.gg/)
20:04:55	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sun,%2013%20Oct%202024%2023:04:56%20GMT	https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.18.delayed	(from https://essential.gg/)
20:04:55	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.19.delayed	(from https://essential.gg/)
20:04:57	332866/332866	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Oct%202024%2023:04:57%20GMT	https://essential.gg/changelog	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/changelog.html	(from https://essential.gg/)
20:04:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Oct%202024%2023:04:58%20GMT	https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.1b.delayed	(from https://essential.gg/)
20:04:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Oct%202024%2023:04:59%20GMT	https://essential.gg/github	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/github.1c.delayed	(from https://essential.gg/)
20:04:58	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.1d.delayed	(from https://essential.gg/)
20:04:59	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Oct%202024%2023:05:00%20GMT	https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.1e.delayed	(from https://essential.gg/)
20:05:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Oct%202024%2023:05:01%20GMT	https://essential.gg/tiktok	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/tiktok.1f.delayed	(from https://essential.gg/)
20:05:01	179221/179221	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Oct%202024%2023:05:02%20GMT	https://essential.gg/true	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/true.20.delayed	(from https://essential.gg/)
20:05:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Oct%202024%2023:05:03%20GMT	https://essential.gg/versions	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/versions.21.delayed	(from https://essential.gg/)
20:05:02	0/-1	---M--	301	error ('')			https://essential.gg/versions	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/versions.22.delayed	(from https://essential.gg/)
20:05:02	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.23.delayed	(from https://essential.gg/)
20:05:02	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.24.delayed	(from https://essential.gg/)
20:05:02	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.25.delayed	(from https://essential.gg/)
